,lat,lon
Doha,25.3108807,51.5081812
Melbourne,-37.8142454,144.9631732
Rotterdam,51.9244424,4.47775
Rio de Janeiro,-22.9110137,-43.2093727
Acapulco,16.8680495,-99.8940182
Dubai ,25.0742823,55.1885387
Indian Wells,33.7217965,-116.338303
Miami,25.7741566,-80.1935973
"Monte Carlo, Monaco",43.7402961,7.426559
Barcelona,41.3825802,2.177073
Munich,48.1371079,11.5753822
Madrid,40.416782,-3.703507
Rome,41.8933203,12.4829321
Paris,48.8588897,2.320041
Halle,51.4824354,11.9712985
London,51.5074456,-0.1277653
Hamburg,53.5501721,10.0013165
Washington,38.8950368,-77.0365427
Montreal,45.5031824,-73.5698065
Cincinnati,39.1014537,-84.5124602
New York,40.7127281,-74.0060152
Beijing,39.9057136,116.3912972
Tokyo,35.6768601,139.7638947
Shanghai,31.2312707,121.4700152
Vienna,48.2083537,16.3725042
Basel,47.5581077,7.5878261
Dallas,32.7762719,-96.7968559
Marseille,43.2961743,5.3699525
